Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
University of Maribor,8,6.6,29.2,6.8,1.8,13,61,33.4,52.4,41,81.1,60.1,50,57.9,34.9,74,20.5,43.2,59.9,2
Robert Gordon University,3.7,11.5,5.6,5.3,62.6,74.1,35.8,5.6,59.8,32.4,55.3,68.1,43.3,59.5,57.9,78.3,40.2,7.4,54.8,2
Universidade Católica Portuguesa - UCP,13,13.6,11.9,6.1,9.3,30.2,27.8,43.2,57.9,37.2,42.8,72,38.7,62.5,47.9,80.3,24.7,23.3,67.4,2
University of Salford,6.8,3.9,6.4,6.9,36.7,69.8,63.6,9.6,60.2,39.2,24,63.1,54.3,66.6,53.2,72,14.1,37.1,69.6,2
Universidad EAFIT,12.9,42.8,4.9,2.3,3.1,1.4,11.3,44.4,51.9,39.9,43.6,59.3,41.2,62.2,46,57.1,25.2,48.9,43.2,2
Viet Nam National University Ho Chi Minh City (VNU-HCM),18.8,24.6,5.7,2.1,4.2,1.1,45.7,24.9,54.7,40.3,27.6,46.8,74.5,45.4,56.2,46.7,14.6,50.9,53.5,2
Catania University,11.6,3,5.4,23.4,3.5,4.5,71.3,5.7,57.4,32.4,34.1,52.2,49.7,75,53.8,69.2,10,25.6,65.1,2
Makerere University,11,4.2,3.4,4.5,9.6,7.5,64.8,98.3,55.4,34.7,31,37.7,70.6,73.4,50,58.8,1.5,45,57.7,2
Australian Catholic University,8.2,8.9,5.1,12.1,71,41.7,33.9,1.7,56.7,27.4,38.6,65.2,30.8,82.5,55.7,58.8,48.1,8.1,27.5,2
Università degli Studi della Tuscia (University of Tuscia),4.6,1.2,5.6,43.6,13.7,10.4,32.4,2,43.1,41.2,21.8,42.6,44.7,37,38.5,68.4,9.1,46.2,69.2,2
"University of Alabama, Birmingham",5.8,4.2,56,16.8,0,0,54.5,1.7,60,20.9,29.4,48.3,57.7,68.4,64.3,72.2,4,9.3,54.3,2
Michigan Technological University,4.8,3.7,27.1,28.6,11.4,11.1,52.1,3.1,44.7,37.4,19.9,30.7,43.8,50.5,51.9,64,4,37.9,73.7,2
University of Lodz,11.5,4.1,39.5,3.4,4,11.3,70.9,16.3,48.6,32,24,49.5,50.8,57.4,38,59.2,4.5,39.5,52.2,2
Worcester Polytechnic Institute,3.5,5.2,17.4,26.2,42,23.5,25.6,8.3,50,31.7,19.8,50.6,35.9,48.9,64.1,52.7,4,30.6,63.8,2
University of Nairobi,10,11.7,20.1,1.8,0,0,50.1,92.5,45.2,34.9,25.3,33.1,47.6,65.1,44.7,48.9,9.4,47.6,46.5,2
Nicolaus Copernicus University ,7.6,2.6,53.2,4.9,3.1,5.3,81.3,3.1,48,31.1,24.3,45.5,53.7,55.7,43.4,46.3,4.5,36.3,52.7,2
Universidad Nacional de Córdoba - UNC,26.4,14,6.2,1.6,1.4,1.5,44.4,10.1,50.5,27.7,23.7,52.2,60.5,58.2,35,52.1,5.8,23.8,56.9,2
Kanazawa University,10.5,3.9,55.1,12.2,8.1,5.8,31.9,1.8,41.2,35.6,25.7,30.1,44.4,28.9,55.3,58.3,10.5,45.6,49.4,2
South Ural State University (National Research University),8.4,4.7,44.1,3.6,4.5,13.4,84.1,4.2,43.8,32.9,26.4,48.1,51.7,29.8,42.8,45.5,14.1,36,49.2,2
Universidad Pontificia Bolivariana ,8.4,8.8,74.7,1.7,3.8,2.3,10,22,35.2,35.6,55.3,38,45.4,34,29.5,34.4,45.2,31.4,28.2,2
German Jordanian University,8.6,15.1,21.4,5.6,65.3,16.3,17.8,8.5,33.4,34.9,55.3,27.4,69.2,7.8,27.6,38.4,36.3,27.2,42.5,2
North South University,13.3,48.1,6.1,2.7,7.9,1.1,24.5,6.6,49.8,25.9,24.8,36.4,76.6,21.6,63.4,41.2,38.8,1,42.1,2
University of Hail,5.2,1.9,39.4,2.4,100,3,43.3,2.3,40.3,29.5,50.3,46.7,55.7,24.7,27.6,53.3,31.3,24,32.7,2
Beijing University of Posts and Telecommunications,3.2,2.6,10.2,49.3,4.7,1.7,18.7,13.5,40.1,34.5,21.2,21.7,56.2,37.6,57.7,27.8,22.7,26.9,56.2,2
Wroclaw University of Science and Technology (WRUST),11.7,18.9,33.7,5.3,3.4,5,55.5,3.2,41.2,30.6,23.7,25.2,50.3,49.8,46.2,47.1,4.5,44.5,40.4,2
Beijing Jiaotong University,9.7,5.4,15.2,31.8,4.7,9.6,29.1,9.6,43.3,23.8,19.7,26.5,58.8,39.6,49.2,51.9,4.8,12.4,59.8,2
Princess Sumaya University for Technology,9.1,25.3,11.9,5.1,47.3,50,6,5.1,35.2,25.9,55,43.7,50.5,20.4,29.7,28.8,48.2,9.7,20.9,2
University of Regina,3.3,2.5,3.9,21,7.3,38.3,39.1,4.1,69,55.9,84,81.3,60.5,64.3,55,90.1,38.1,44.4,88.9,2
King Mongkut's University of Technology Thonburi ,13.2,6.3,13.3,8.5,9.5,3.2,36.9,2.6,58.8,67,70,61.3,74.9,35.4,51.1,71.2,57.1,67.4,73.7,2
Mansoura University,14.1,12,3.3,2.6,6.7,5.7,74.7,4.4,65.5,56.2,86.5,80.6,76.1,46.9,51.9,63.4,30.2,60,78.5,2
Universidad de León,6.7,3.6,51.6,4.5,2.3,7.2,44.9,2.8,68.3,52.1,87.8,91.2,58.4,66.7,44.9,87.1,31.9,46.3,80.3,2
Khon Kaen University,17.2,10.7,7.4,4.4,5.3,2.3,50.9,4.4,60.7,57.7,74.4,70.6,76.1,38.1,48.6,66,51.6,63.5,54.8,2
Prince of Songkla University,21.6,5.6,16.4,3.3,5.3,1.9,40.3,3.9,62.3,53.2,60.6,64.9,79.6,45.3,53,65.4,31.7,65.9,58.2,2
The University of Lahore,11.1,19.4,12.3,3.3,4,3,61.4,2.7,57.9,50,76.1,74.6,68.9,21.3,49.7,66.6,58.9,36,56.5,2
University of Colombo,13.1,18,2.5,3.2,1.1,1.2,19.3,69.6,53.5,51,75.4,63.8,56.7,34.7,46.7,67.2,67.9,31.8,54.2,2
Clemson University,7.3,7,12.6,15.2,11.6,5.2,78.5,7.7,68.5,41.5,28.8,66,66.9,67.6,71.8,71.6,11.7,40.7,74.8,2
Auburn University,7.1,7.7,7.6,17.2,27.6,6,54.7,16.4,67.4,42.1,23,72,59.2,63.8,70.1,71,8.9,43.1,77.5,2
University of Denver,5.4,7.4,42.2,7.8,7.7,5.8,32.7,25.6,60.2,46.4,27.9,67,43.9,69.5,58.7,67,29.9,45.4,64.3,2
Universidad Autónoma Metropolitana (UAM),23.6,11.3,3.7,2.5,7.8,1.2,45.6,4.6,61.8,36.9,59.5,68.8,79.6,47.5,43.2,69,37,25,50.3,2
Kumamoto University,7.1,2.8,55.2,12.6,7.2,3.5,35.1,2.9,45.4,50,63.2,52.2,45.3,22.7,42.1,76.9,45.7,46.6,57,2
Universidad Técnica Federico Santa María (USM),9.8,33,3.2,5,13.8,1.6,41.6,13.1,46.8,46.4,68.8,41.1,47.5,38.1,53.1,63.6,25.6,60.7,50.3,2
Yarmouk University,14.1,20.1,3.1,2.6,7.3,8.8,45.3,33.8,48.6,42.4,77.9,51.8,79.1,26.8,35.5,46.1,49.4,33.2,44.5,2
The University of Alabama,10,20.3,5.3,11.9,5.3,2.5,54.9,10.7,64.1,37.4,25.4,59.9,48.5,67.6,78,70.8,4,40.4,70.3,2
Clark University,2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6,54.9,46.4,23,72.6,42.4,51.8,49.1,59.8,23.6,49.7,66.7,2
University of South Bohemia,5.2,2.3,56,5.7,21.5,11.4,55.3,1.6,46.6,39.4,82,46.8,63.8,34.6,25.8,81.3,24.7,22.9,76.3,2
Universidad de Córdoba - España,10.6,3.9,26.5,12,0,0,84.2,4.8,57.2,39.9,31.3,44.5,59.9,75.7,51.8,71.6,6.1,44.4,71.8,2
Sophia University ,12.7,19.9,21.9,1.8,34.5,10.8,8.6,11.7,48.2,40.6,63.1,71.8,44.9,25,44.2,44.9,49.2,28.6,44.1,2
Financial University under the Government of the Russian Federation,5.3,9.9,39.3,1.6,4.7,19.4,32.4,47.7,51.2,35.1,74.1,61,65.2,49.5,37.5,38.6,34.9,43.7,23,2
Bina Nusantara University (BINUS),12.5,21.8,19.9,2.1,34.7,4.3,10.7,12.9,48.6,36.5,64.4,57.5,63.6,35.2,39.5,42.7,39.4,39.7,28,2
Rhodes University ,6.3,7.7,12.9,12.6,0,33.2,54.5,35.5,53.3,35.6,22.4,53.6,64.8,60.1,39.6,53.5,4.7,46.1,56.3,2
Athens University of Economics and Business,7.6,29.3,1.7,20,1.6,3.1,14,20.9,44.7,29.5,73.4,50.1,32.9,34.6,58.8,45.7,23.2,36.7,26.2,2
University of Parma,9.5,2.7,2.9,25.4,3.8,9.1,69.4,9.2,52.8,32.2,22.4,41.5,52.4,63.2,53.5,70,5.2,30.9,63.4,2
Universiti Pendidikan Sultan Idris (UPSI),13.1,9.9,27.5,2.7,21.3,38.3,21.1,3.9,44.3,28.1,75.1,37.9,67.6,44,36.2,37.2,41.2,28.4,11.8,2
University of the Western Cape,8.6,5.3,4.1,14.1,25.2,3.7,76.8,21,53.3,28.8,30.4,55.7,74.3,54.7,33.2,51.1,4.7,37,44.5,2
Indian Institute of Technology Bhubaneswar,4.3,3.5,10,50.2,1.5,1,6.8,2.1,27.4,44.6,62,28.5,47.4,14.5,19.7,34.6,33,46.8,52.6,2
Niigata University,4.9,3.2,85.3,3.8,4.6,3.1,18.4,5.7,32.5,40.6,53,33.7,35.4,14.9,33.2,60,32.9,38.9,49.8,2
Université Toulouse 1 Capitole,13.4,4.6,1.7,6.2,25.5,50.2,52.6,6.1,57.9,20.7,27,57.8,61.8,62.4,51.5,60.4,14.3,1,52.9,2
Ferdowsi University of Mashhad,7,6,3.5,28.2,1.3,7.1,71.7,5.2,46.3,34,16.4,27.7,60.7,54.7,47.8,54.1,4.1,37.7,62.1,2
Saveetha Institute of Medical and Technical Sciences (deemed to be university),5.5,2.6,21.1,7.2,87.1,7.2,60.8,1.9,36.6,32.9,62.7,56.8,66.9,14.6,11.2,26.4,56.4,9.7,34.7,2
St. Louis University,4.4,2.6,53.2,13.5,12.7,11,28.7,9,54.4,24.5,24.3,51,42.7,66.3,55.2,72.4,1.1,18.1,58.1,2
Yeungnam University ,3.8,2.9,13.4,26.9,34.2,7.5,43.9,2.7,44.7,31.7,23,34.3,37.9,47.6,57.2,59.8,16.2,20.8,63.3,2
University of Central Lancashire,5.4,4.9,10.9,3.8,35.5,82,53.9,2.1,56.5,17,30.1,65.2,41.4,67.1,56.8,56.9,6.3,10.6,37.7,2
Université Sorbonne Paris Nord,9.5,4.1,4.2,29.3,0,0,61,3.9,54.7,19.5,23.4,51.4,55.3,69.2,45.8,65,5.2,10.4,46.8,2
Baku State University,12.9,5.5,41.7,1.4,5.3,2.2,16.7,47.7,32.7,30.6,54.9,54.1,44.8,15.5,14.4,31.6,50.3,18.5,22.7,2
D. Serikbayev East Kazakhstan state technical university,13,7.7,64.2,1.2,14.4,2.5,2.4,3.5,29.9,27.4,79.1,41.2,31.9,23.6,24.5,32.2,52,18.5,9.8,2
Southern Federal University,6.6,3.8,67.9,1.9,2.9,25.2,40.1,1.8,33.6,27.9,43.5,37.6,49.6,43.3,21.9,15.9,19.6,42.2,17.8,2
Universidad de los Andes - Chile,16.4,18.1,8.4,2.8,12.2,2,22.6,38.6,48.4,15.7,45.9,65.6,36.4,67.1,35,39.6,17.2,18.5,10.1,2
University of Rhode Island ,5.6,3.5,6.7,16.2,5.2,2.6,48.9,11.8,70.6,62.5,76.6,89.3,58.7,65.6,54.4,89.1,33.9,61.4,93.7,1
The University of Texas at Arlington,4.6,5.1,4.5,9.8,1.9,29.6,61.6,8.1,72,53.2,71.5,90.1,59.4,61.6,62.7,87.1,33.7,49.1,78.3,1
Universitat de Lleida,6,2,19.2,13,5.5,9.6,51.8,3,68.5,51.4,89.7,87.6,58.1,71.5,45.8,90.5,21.8,48.7,86.4,1
Kangwon National University ,4.8,4.7,22.2,8.2,4.7,2.6,27.6,2.8,57.7,59.3,88.7,53.1,60.5,52.4,54,79.9,51.8,54.9,71,1
Rochester Institute of Technology (RIT),7.2,10.7,19.2,6.3,4.7,16.1,36.8,9,62.8,57.3,75.4,75.6,50.3,52.2,64.4,68.2,45.3,52.9,73.7,1
Universidad Rey Juan Carlos,7.9,8.3,7.2,4.5,16.5,12.4,62.9,7,69.9,41.5,76.6,79.1,64.6,79.2,49.6,87.1,27.3,30.4,70,1
Glasgow Caledonian University,5.2,5.4,4.3,6.3,30.1,34.9,37.2,6.8,67.2,42.8,82.3,87.6,60.7,58.5,48.2,84.3,48.2,28.3,54.1,1
Universidade da Coruña ,5.9,4.8,24.2,7.3,2.9,4.5,56.1,1.8,65.8,45.1,76.7,75.4,58.9,76.4,47.2,84.1,25.8,33.6,79.9,1
Escuela Superior Politécnica del Litoral (ESPOL),14.3,8.4,22.4,2.6,12,1.6,27.5,8.6,58.8,54.3,64.6,56.6,78.6,54.1,46.1,59,38.9,65.1,55.7,1
George Mason University,8.8,4.8,12.4,9.2,10,15.3,60.9,11.9,72,47.1,37.1,71.2,78.2,72.2,67.2,70.8,20.5,45.5,77.6,1
Universidad del Norte ,9.6,11.9,10.8,2.9,7.7,1.4,29.6,7.6,56.3,57.1,57.6,73.7,60.7,50.1,40.8,52.1,39.6,63.5,66.3,1
Universiti Malaysia Terengganu (UMT),10.5,4.3,12,12.2,11.1,12.1,50.2,3.7,52.8,55.5,66.8,45.7,83,31.3,47.9,53.7,32.5,63.3,68.2,1
Chungbuk National University,3.8,2.7,34.1,10.3,10.5,7.7,27.4,1.7,48.4,53.4,82.9,56.8,44.1,45.4,38.9,68.4,45.1,48.7,65.9,1
Aligarh Muslim University,11.1,2.8,16.2,12.1,1,1.4,46,2.7,51,49.8,75.3,52.9,81.5,27.3,30.5,68,29.7,53.3,65.6,1
Universidade Federal Fluminense ,9.6,2.5,12.8,3.6,6.3,1.2,52.2,10.9,58.4,44.2,65.8,65.2,73.1,51.2,42,61.8,32.2,42.5,58.2,1
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,8.6,16,13.4,4,1.5,1.6,56.2,1.8,47.7,52.3,75.7,50.6,80.2,14.3,40.8,43.3,51.4,48.4,56.3,1
Mykolas Romeris University,6.2,8.7,13.9,4.5,14,35.3,15,47.2,54.2,45.5,72,75.9,31.3,65.8,39,69.4,40.3,31.9,67.6,1
Lviv Polytechnic National University,8.4,13.5,28.4,1.9,1.4,1.2,18.9,15.2,44.3,53,80.6,52.1,65.2,29.7,28.4,45.9,45.4,70.4,36.2,1
Amity University,9.8,10.6,10.7,7.1,3.7,21.1,61.5,4.1,48.4,49.8,72.1,46.8,73,31.5,40.1,51.5,40.5,58.3,47.3,1
University of New England Australia,10.7,7.2,3.7,14.7,4.6,3.3,62.9,9.8,63.7,43.9,28.7,61.4,59.8,77.1,56.5,74,12.2,52.4,67.9,1
Universidad Autónoma de Nuevo León,14.5,8.5,2.3,1.8,2.9,1.1,35.9,13.4,48.6,49.4,72.3,43.2,76.5,38.6,42.4,38.2,26.6,66,51.8,1
Universiti Tun Hussein Onn University of Malaysia (UTHM),10.3,6.2,9.9,8.6,6.3,6.5,43.8,3.8,48,48.2,78,48.2,77.3,31.1,36.4,43.5,58.7,48.4,34.1,1
National Chung Cheng University,12.5,24.9,14.5,4.9,4.7,3.5,21.4,2.7,54.2,40.3,83.4,60,43.3,54,59,56.7,58.8,25.4,37.1,1
Universidad Peruana Cayetano Heredia (UPCH),9.5,8.5,45.5,2.2,1.8,1.4,28.9,3.8,60.4,32.9,86.6,81.8,57.4,43,44.7,77.5,36.3,23.4,40,1
San Diego State University,5.4,3,3.3,14.3,5.2,3.5,68.7,15.8,63,42.6,28.1,64.6,59.6,66.6,57.2,71.2,20.5,36.5,73.8,1
Universitas Sebelas Maret,12.9,16.3,16,1.5,17.1,2.8,14.9,2.4,44.5,47.8,87.5,47.3,70.1,29.9,35,33,54.5,55,27.7,1
Universiti Malaysia Sarawak (UNIMAS),13.2,7.3,13.1,3.2,34.8,10.5,28.9,3.7,48.9,47.8,67.1,45.5,75.6,33.9,40.7,45.9,39.7,55,44.5,1
Universidad de Castilla-La Mancha,7.9,2.1,16.9,9.7,2.1,5.2,71.6,4.9,63,39.2,38.8,74.8,47.2,77.7,52,71.6,12.5,34.6,74.1,1
Universidad Nacional de Cuyo,12.9,6.1,23,1.6,1.8,13.9,27.4,10.3,44.5,51.9,61.6,44.2,65.6,39.2,21.2,69.8,33.1,59.7,60.6,1
University of Massachusetts Boston,11,7.7,9.8,19.7,4.5,14.8,32.2,2.9,61.8,43,24.3,58.6,50.5,69.6,68.1,68.2,4,53.7,72.3,1
University of Vermont,3.1,2.2,34.9,15.6,6.8,2.4,62.8,9.5,62.8,40.6,27.2,58.5,66,64.5,59.4,73.6,4,41.3,79.9,1
Université de Sfax,7,4.1,44,3.7,1.1,3.2,50.8,10.3,49.3,47.6,55.5,57.3,62.9,34.1,33.3,63.8,25,53.3,63.3,1
Chung Yuan Christian University,6.3,5.3,4.3,15.6,3.9,6.7,15.1,22.4,47.5,42.8,84.3,57.1,39.6,36.8,47.6,59.4,44.9,21.3,67.1,1
Sumy State University,5.8,5.3,35.1,2.5,3.1,40.5,28.9,3.8,52.6,38.1,79.8,70.7,61.1,31.1,43.9,46.1,50.6,31.2,31,1
Utah State University ,6.2,2,5.4,22.4,1.1,1.6,54.7,7.6,60.9,41.9,24.2,60.6,53,67,60.2,71.8,4,46,78.7,1
University of Warmia and Mazury in Olsztyn,6.9,8.9,28.6,3.7,2,2.7,40.6,3.2,49.8,42.4,69.2,59.2,48.5,36,43.2,68.2,15.9,56,52.8,1
Warsaw University of Life Sciences �?SGGW (WULS-SGGW),6.6,4.4,18.8,6.8,2.3,6.4,74.4,3,47.5,44.2,70.3,49.3,41.6,47.2,37.8,82.1,8.6,52,73,1
Indiana University–Purdue University Indianapolis,7.1,4.5,22.2,10,28.8,6.6,33.6,3.7,63.2,36.9,30.6,59.1,52.9,71.1,68.4,72.8,4,39.3,69.7,1
West Virginia University,5.6,4.7,12.8,18.5,5.8,4.2,66.7,14.3,66.2,33.8,30.9,61.9,65.7,63.7,71.8,68.2,4,34.4,66.3,1
University of the Sunshine Coast ,3.6,1.9,2.6,25.2,2.7,16.4,48.3,1.6,59.8,39.9,29.5,61.4,52.2,78.3,47.5,73.4,14.7,36.3,71.5,1
Northern Arizona University,5.8,6.2,5.1,13.1,3,3.1,55.1,4.6,57.9,42.6,24.4,55.2,48.9,61.2,61.6,71,4,49,77,1
Soonchunhyang University,5.6,4.7,55.2,5.7,5.5,3.9,11.7,1.8,46.3,41.5,82.4,56.5,31.8,42.4,42.4,70.4,43.6,31.3,50.5,1
Universidad de Guadalajara (UDG),18.9,7.5,17.1,1.2,2.2,1.1,47.1,5.8,57.2,35.4,57.4,62.2,74.5,54.7,35.5,63.4,18.4,55.7,25.9,1
Universidad Austral de Chile,13.9,8,3.1,7.3,15.6,1.6,45.4,3.5,46.6,47.6,43.5,43.7,43.5,59.3,34.4,73,14.1,52.5,77.8,1
University of New Hampshire,5,4.1,12.2,16.9,7,2.5,41.7,7.1,57.2,40.1,29.5,60.3,44.1,64.4,56.1,71.2,4,42,77.5,1
Assiut University ,11.4,9.8,13.6,2.2,11.8,3.5,56,2.5,48.4,44.4,46.8,60.5,61.9,27.1,36,54.9,28.8,45,59.4,1
Universidad de Oviedo,12.5,3.7,20,6.5,4.1,1.7,70.7,8.5,57.4,38.5,30.1,53.5,53.7,75.7,49.6,68.4,6.6,43.9,65.9,1
Bielefeld University,14.2,3.3,8,6.7,20,7,67,2.9,60.9,35.1,27.2,58.4,60.2,78.1,52.7,64.4,8.7,36.4,62.4,1
Universidad Autónoma del Estado de México (UAEMex),19.3,8.2,4.6,1.5,3,1.3,16,1.8,47.3,37.4,77.8,60.3,53.6,34.7,34.2,56.1,28.1,37.7,46.4,1
University of Seoul ,11,9.7,36.7,8.8,5.5,6.9,24,5.3,44.3,45.5,54.7,38.2,31.5,39.9,53.2,76.3,20.8,37.7,82.3,1
VSB - Technical University of Ostrava,6,10.5,18.6,4.7,11.3,28.3,50.2,3.9,44.7,41.5,66.3,61.1,42.5,42.8,30.7,50.7,32.8,41.6,49.5,1
Mississippi State University,6.2,3.6,7.4,17.4,8.9,3.1,50.6,7.1,59.3,35.8,25,58.9,49.5,55.1,66.1,69.4,4,37.7,68.8,1
College of William and Mary,8.1,9.1,20.9,11.4,6.3,5.4,33.1,23.7,56.1,37.4,30.3,58.8,43,64.8,59,60.2,4,41.1,69,1
Università degli Studi di Udine,7.1,2.7,11.3,16.7,4.2,3.7,53.5,1.9,56.5,38.7,21.8,62,37.2,73.5,56.1,64.6,24.8,31.8,62.6,1
University of North Carolina at Charlotte,5.1,5.8,5,13.4,8.7,6.2,65,7.8,62.5,29.3,35.2,68.8,53.3,64,59.8,69.2,11.9,17.5,63.4,1
Dankook University ,5.8,4,59.2,3,4.2,7.1,13,2.9,46.6,35.6,77,56.4,31.2,46.2,39.5,78.7,29.9,26.2,52.4,1
Baylor University,6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6,55.6,37.6,26.2,57.5,49.6,47.5,58.7,69.6,4,43.7,66.8,1
Lodz University of Technology,5,3.4,46.2,8.9,3.3,4,50.7,3.2,49.1,34.7,67.9,54.6,57.8,34,35.5,73.2,24.6,25.5,57.3,1
Universidad Andrés Bello,12.3,7.4,6.9,2.3,7.1,1.9,51.2,2.1,49.6,43.9,23.6,64.9,45.2,54.4,37.8,46.5,29.7,50.9,48.8,1
Brigham Young University,7.5,7,4.8,10.4,1.3,3,52.4,22.2,59.8,31.5,30.1,57.6,49.8,69.3,62.2,67.6,17.8,18,63.3,1
Gebze Technical University (GTU),4.5,3.4,7.8,18.5,6.2,3.8,37.3,2.3,37.1,49.8,51.3,35.3,70.8,13.4,26.5,41.6,29.4,56.5,62.3,1
University of Arkansas Fayetteville ,5.8,3.5,6.3,11.9,4.8,3,51.6,15.4,60.7,31.7,25.1,59.8,56.8,60.9,62,67.6,4,25,71,1
University of North Texas,6.9,5,3.1,17.2,3.5,24.8,58,21.1,63,29.7,23.7,60,56,71.5,68.1,61,4,24,65.6,1
University of Texas at San Antonio,6,3,3.9,22.8,8.8,2.7,60.5,5.1,58.6,34,24.7,60.9,45.5,65.4,60.3,68.2,4,35.4,65.3,1
Multimedia University (MMU),11,15.4,10.9,4.7,28.5,30.3,19.6,3.8,51.4,34.5,52.9,57.6,69.7,35.4,52.8,23.7,40.3,15.2,51.8,1
University of Wyoming,3.2,1.6,28.4,21.1,6.8,4,52.2,6.5,54.7,37.8,22.2,56.5,47.2,59,54.9,64.6,6.5,37,73.2,1
Széchenyi István University,9.2,31.2,25,1.6,3.4,6.7,7.4,3.9,47.7,30.6,81.7,67.3,51.3,20.8,44.8,43.7,43.4,18.5,31,1
University of Idaho,3.1,1.4,9.9,32.6,4.6,5.9,32.5,3.5,55.4,36.3,21.5,51.6,62.5,50.9,51.3,68.6,4,33.6,75.3,1
Binghamton University SUNY,7,5.1,5.7,15.8,10.8,10.3,44.2,3.9,55.8,33.8,22.9,67,36.3,58,60.1,60,13.1,32.3,57.6,1
Gifu University,6.6,2.3,57.9,7.6,4.3,3.3,20.6,1.8,36.6,43.9,62.8,37.2,36.6,27.1,29.3,74.4,35.6,46.5,48.5,1
University of Naples Parthenope,3.8,1.9,3.3,42.4,1.7,2.1,30.8,1.7,55.1,34.7,20.7,60.2,37,70.6,50.7,71.6,5.2,29.1,74.9,1
Nanjing Normal University,5,1.8,15.8,26.8,0,4.2,53.3,4.4,50.7,38.3,22.9,29.5,63.8,59.2,53.8,64.2,4.8,41.7,70.9,1
Université Mohammed V de Rabat,3.7,3.3,1.5,4.5,3.8,2.6,77.7,70.1,40.8,42.4,47.6,41.8,65,36,24.2,41.4,33.9,48.3,42.5,1
University of Texas El Paso ,4.4,2.6,5.7,14.2,9,5.3,66.2,3,55.1,33.3,22.6,58.3,52.4,51.7,51.7,70.8,8.9,33.2,60.6,1
Kent State University,5.5,2.9,6.2,12.7,19.2,6.6,57.1,7.6,56.7,31.3,22.6,57.8,53.8,66.3,51.2,63.6,4,25.7,68.6,1
Paul Valéry University Montpellier,11.8,2.8,2.9,5.3,5,32.2,48.3,2.1,48.2,40.1,22.5,40.6,63,56,35.2,60.8,5.2,46,71,1
Yokohama National University,9.3,16.4,18.3,6.6,10.1,7.8,26.5,17.8,37.8,43.9,51,36.5,30.5,21.7,59.9,37.6,25.5,52,52.8,1
Banaras Hindu University,13.5,8,12.4,9,1.2,1.7,56.4,8.8,45.2,42.4,22.8,33.8,63.7,46.6,43,44.5,22.7,46.9,57.2,1
Marmara University,8.1,11.4,4.4,2.4,2.9,4.2,45.3,23.9,48.4,31.1,57.9,52.3,60.9,46.9,36.5,47.3,18,22.6,56.1,1
Ohio University,8.1,5.5,5.7,10.5,2.4,3.3,41.4,16.9,56.7,30.6,23.4,46.3,50.2,66.9,65.6,63.2,4,35.3,53.5,1
Universidade Federal de São Carlos (UFSCar),11.8,6.4,15.5,17.8,2.6,1.6,45.5,1.8,50.3,36,28.9,40.5,70.5,38.8,49.1,55.9,7.3,43.9,57.3,1
Università del Salento,7.1,1.7,6.9,21.7,1.7,1.5,65.2,1.6,51,36.7,22.6,45.7,38.8,70.9,49,67.4,13,30.7,69.7,1
Hohai University,4.1,1.5,7.9,16.5,0,0,70.7,2.2,43.8,41.7,21.7,25.9,67.9,16.2,54.2,61.4,4.8,51.6,68.9,1
Panjab University,7.8,7.3,6.2,24.1,0,1.7,30.9,31.8,44.7,39.7,26.5,41.4,73.2,23.6,38.5,45.3,23.2,44.4,50.5,1
Southern Methodist University,4.9,3.6,29.3,7.2,6.8,8.7,30.2,38.8,56.1,27.9,28.3,58.6,44.6,66.3,57.4,60.6,4.4,22.6,60.9,1
The Hashemite University,9.4,14.6,4.2,3.6,7.2,14.6,39.1,3.6,42.2,37.6,48.3,38.5,79.7,29.5,32,24.1,59.6,17.3,37.4,1
University of Derby,4.8,4.8,10.7,5.1,29.1,45.5,45.7,2.1,56.3,30.6,18,65.1,42.2,64.8,60.9,45.3,11.7,16.5,68.9,1
University of Louisville,3.5,3.2,30.5,7.7,24.8,3.2,59,5.1,60.7,23.4,28.4,61.4,50.8,60.3,66,68.4,4,7.8,65.6,1
O.P. Jindal Global University,8.8,10,53.8,1.6,18,1.2,8.4,3.2,42.6,30.2,76.6,53.7,34.7,46.3,43.6,33.6,37.1,18.5,36.4,1
Southwest University,3,1.9,13.3,23.9,1.3,1.7,44.1,10.6,54.9,29.9,22.7,49.2,64.4,51.5,53.8,61.8,4.8,21.1,69.3,1
Universidad de Puerto Rico,10.2,6.8,14.4,2,1.3,1.5,39.4,62.2,48,36.9,22,55.2,52.7,42.4,44.1,42.9,9.1,47.7,52.7,1
Universidad Diego Portales (UDP),14.7,14.9,8.6,3.7,13.1,2.9,39.6,6.2,58.4,16.4,68.3,78.5,47.3,69.6,45.8,48.7,3.1,15.9,31.8,1
Guru Gobind Singh Indraprastha University,4.5,4.4,6.6,27.7,3.7,5.1,17.3,6.4,45.6,28.8,65.3,48.8,69.2,27.9,33.8,48.7,15.9,24.5,47.5,1
Sheffield Hallam University,6.7,8.6,9.5,4.5,33.6,33.1,50.4,8.6,62.3,21.8,23.2,70.5,44.1,69.3,64.5,64,10.4,7.2,52.8,1
